scientific_name,count,common_name,avg_height
Acer saccharum,1810,Sugar maple,90.81
Quercus palustris,1678,Pin oak,104.89
Acer rubrum,1538,Red maple,85.73
Fraxinus pennsylvanica,1404,Green ash,139.65
Celtis occidentalis,1086,Common hackberry,93.91
Liriodendron tulipifera,997,Tulip tree,137.05
Liquidambar styraciflua,834,American sweetgum,120.45
Quercus rubra,805,Northern red oak,99.08
Platanus occidentalis,802,American sycamore,120.89
Fraxinus americana,773,White ash,106.68
