scientific_name,count,common_name,avg_height
Pinus elliottii,46,Slash pine,130.64
Sabal palmetto,41,Cabbage palm,77.85
Adonidia merrillii,36,Manila palm,33.62
Eugenia,34,Redberry stopper,nan
Musa acuminata,33,Edible banana,19.69
Pseudopanax crassifolius,32,Lancewood,nan
Cocos nucifera,28,Coconut palm,115.81
Mangifera indica,23,Mango,80.58
Ravenala madagascariensis,22,Travelers tree,68.9
Coccoloba diversifolia,22,Pigeon plum,nan
