scientific_name,count,common_name,avg_height
Prunus cerasifera,8244,Leaf plum purple,57.31
Acer rubrum,7543,Red maple,85.73
Acer platanoides,6304,Norway maple,98.24
Malus,5206,Crabapple,42.76
Prunus L.,4948,Kwanzan flowering cherry,nan
Acer palmatum,4577,Japanese maple,37.51
Pyrus calleryana,4467,Callery pear,81.55
Prunus,3937,Cherry,46.73
Acer truncatum,3750,Pacific sunset maple,40.33
Crataegus laevigata,3645,English midland hawthorn,59.98
