scientific_name,count,common_name,avg_height
Ulmus crassifolia,3641,Cedar elm,80.87
Celtis occidentalis,3279,Common hackberry,93.91
Quercus rubra,2598,Northern red oak,99.08
Quercus virginiana,1906,Live oak,92.69
Taxodium distichum,1598,Bald cypress,76.78
Carya illinoinensis,1246,Pecan,105.62
Fraxinus,1208,Ash,105.99
Pistacia chinensis,822,Chinese pistache,77.06
Pyrus calleryana,815,Callery pear,81.55
Ulmus americana,660,American elm,104.33
