scientific_name,count,common_name,avg_height
Syagrus romanzoffianum,22624,Queen palm,56.4
Washingtonia robusta,15129,Mexican fan palm,145.3
Cupaniopsis anacardioides,13608,Carrotwood,67.81
Eucalyptus,13269,Eucalyptus,150.6
Pinus,12677,Pine,89.32
Liquidambar styraciflua,10323,American sweetgum,120.45
Jacaranda acutifolia,9831,Jacaranda,132.41
Lophostemon confertus,7591,Brisbane box,66.0
Platanus racemosa,7330,California sycamore,99.05
Podocarpus gracilior,6161,African fern pine,83.51
