scientific_name,count,common_name,avg_height
Cocos nucifera,1811,Coconut palm,115.81
Adonidia merrillii,1525,Manila palm,33.62
Cassia nealiae,977,Rainbow shower,87.22
Tabebuia heterophylla,955,Pink tecoma,84.29
Albizia saman,923,Monkeypod,113.37
Casuarina equisetifolia,434,Horsetail tree,190.44
Acacia confusa,366,Formosan koa,88.74
Conocarpus erectus,351,Silver buttonwood,48.08
Tabebuia berteroi,293,White tecoma,63.38
Filicium decipiens,279,Fern tree,87.19
