scientific_name,count,common_name,avg_height
Gleditsia triacanthos,10428,Honeylocust,89.98
Tilia,6107,Linden,82.6
Fraxinus pennsylvanica,5465,Green ash,139.65
Acer platanoides,4745,Norway maple,98.24
Acer saccharinum,3433,Silver maple,153.6
Celtis occidentalis,2493,Common hackberry,93.91
Tilia americana,1668,American linden,94.31
Malus,1536,Crabapple,42.76
Pinus nigra,1517,Austrian pine,71.9
Pyrus calleryana,1490,Callery pear,81.55
