city,count
Anaheim,1264
Fresno,294
Garden Grove,593
Huntington Beach,574
Irvine,1195
Los Angeles,17477
Oakland,3788
Ontario,3328
Rancho Cucamonga,5698
Sacramento,14111
San Diego,1907
San Francisco,11925
San Jose,26291
Santa Rosa,87
Stockton,7552
