scientific_name,count,common_name,avg_height
Acer platanoides,9364,Norway maple,98.24
Acer saccharum,1346,Sugar maple,90.81
Acer rubrum,1029,Red maple,85.73
Acer saccharinum,342,Silver maple,153.6
Tilia cordata,335,Littleleaf linden,105.47
Quercus rubra,327,Northern red oak,99.08
Pyrus calleryana,270,Callery pear,81.55
Quercus palustris,265,Pin oak,104.89
Fraxinus americana,225,White ash,106.68
Syringa reticulata,170,Japanese tree lilac,37.17
