scientific_name,count,common_name,avg_height
Pinus brutia,5888,Afghan pine,4.46
Fraxinus velutina,4480,Modesto ash,124.32
Washingtonia robusta,1844,Mexican fan palm,145.3
Acacia stenophylla,1483,Shoestring acacia,13.94
Vitex agnus-castus,1478,Chaste tree,30.48
Prosopis chilensis,1280,Chilean mesquite,14.91
Fraxinus angustifolia,1135,Narrow leaf ash,111.65
Chitalpa tashkentensis,1050,Chitalpa,45.04
Chilopsis linearis,1020,Desert willow,48.52
Phoenix dactylifera,941,Date palm,74.01
