scientific_name,count,common_name,avg_height
Acer rubrum,13289,Red maple,85.73
Fraxinus americana,7654,White ash,106.68
Quercus palustris,3419,Pin oak,104.89
Liquidambar styraciflua,1983,American sweetgum,120.45
Fraxinus pennsylvanica,1929,Green ash,139.65
Malus,1418,Crabapple,42.76
Pyrus calleryana,1357,Callery pear,81.55
Acer saccharinum,1213,Silver maple,153.6
Gleditsia triacanthos,964,Honeylocust,89.98
Tilia cordata,900,Littleleaf linden,105.47
