scientific_name,count,common_name,avg_height
Fraxinus pennsylvanica,9402,Green ash,139.65
Pyrus calleryana,9245,Callery pear,81.55
Acer rubrum,8657,Red maple,85.73
Acer saccharum,7512,Sugar maple,90.81
Gleditsia triacanthos,7090,Honeylocust,89.98
Malus,6924,Crabapple,42.76
Fraxinus americana,6742,White ash,106.68
Acer freemanii,5664,Freeman maple,83.6
Acer platanoides,4549,Norway maple,98.24
Tilia cordata,4102,Littleleaf linden,105.47
