scientific_name,count,common_name,avg_height
Ulmus crassifolia,1570,Cedar elm,80.87
Lagerstroemia indica,1195,Crape myrtle,48.6
Quercus shumardii,1139,Shumard oak,85.02
Quercus virginiana,1081,Live oak,92.69
Cercis canadensis,691,Eastern redbud,30.24
Quercus muehlenbergii,590,Chinkapin oak,72.05
Pistacia chinensis,587,Chinese pistache,77.06
Quercus macrocarpa,582,Bur oak,74.74
Taxodium distichum,581,Bald cypress,76.78
Quercus stellata,558,Post oak,115.92
