scientific_name,count,common_name,avg_height
Acer rubrum,12711,Red maple,85.73
Quercus phellos,9981,Willow oak,76.56
Ulmus americana,9014,American elm,104.33
Quercus palustris,8904,Pin oak,104.89
Zelkova serrata,6343,Japanese zelkova,103.08
Quercus rubra,5852,Northern red oak,99.08
Platanus acerifolia,5745,London planetree,121.26
Acer saccharum,5408,Sugar maple,90.81
Ginkgo biloba,4731,Ginkgo,86.88
Lagerstroemia indica,4325,Crape myrtle,48.6
