scientific_name,count,common_name,avg_height
Pinus canariensis,4578,Canary island pine,142.93
Eucalyptus globulus,3948,Eucalyptus,133.42
Eucalyptus maculata,3830,Spotted gum,152.56
Tristaniopsis Brongn.,3810,Brisbane box,nan
Pinus brutia,3339,Afghan pine,4.46
Pinus halepensis,2973,Aleppo pine,96.91
Platanus racemosa,2887,California sycamore,99.05
Eucalyptus,2503,Eucalyptus,150.6
Jacaranda mimosifolia,2063,Jacaranda,65.79
Liquidambar styraciflua,1773,American sweetgum,120.45
