scientific_name,count,common_name,avg_height
Acer platanoides,3054,Norway maple,98.24
Pyrus calleryana,2792,Callery pear,81.55
Gleditsia triacanthos,2050,Honeylocust,89.98
Platanus acerifolia,1867,London planetree,121.26
Fraxinus pennsylvanica,1714,Green ash,139.65
Acer rubrum,1408,Red maple,85.73
Zelkova serrata,1193,Japanese zelkova,103.08
Tilia cordata,986,Littleleaf linden,105.47
Quercus palustris,643,Pin oak,104.89
Prunus,572,Cherry,46.73
