scientific_name,count,common_name,avg_height
Pinus strobus,267,Eastern white pine,103.26
Acer rubrum,151,Red maple,85.73
Quercus rubra,115,Northern red oak,99.08
Prunus serotina,87,Black cherry,95.02
Tree,74,Tree site deleted,0.0
Acer saccharum,59,Sugar maple,90.81
Tsuga canadensis,44,Eastern hemlock,75.22
Pinus rigida,42,Pitch pine,114.83
Juniperus virginiana,39,Eastern red cedar,75.64
Quercus alba,30,White oak,138.6
