scientific_name,count,common_name,avg_height
Lagerstroemia indica,44320,Crape myrtle,48.6
Quercus virginiana,44059,Live oak,92.69
Celtis occidentalis,13013,Common hackberry,93.91
Quercus nigra,10804,Water oak,122.12
Triadica sebifera,9561,Chinese tallow,89.44
Pinus taeda,8893,Loblolly pine,85.17
Carya illinoinensis,6129,Pecan,105.62
Washingtonia robusta,5466,Mexican fan palm,145.3
Fraxinus velutina,4829,Modesto ash,124.32
Magnolia grandiflora,4297,Southern magnolia,79.13
