scientific_name,count,common_name,avg_height
Lagerstroemia,3103,Common crapemyrtle,9.37
Quercus phellos,2777,Willow oak,76.56
Acer buergerianum,1027,Trident maple,48.81
Acer rubrum,718,Red maple,85.73
Ulmus parvifolia,573,Chinese elm,100.72
Cercis canadensis,537,Eastern redbud,30.24
Ulmus americana,375,American elm,104.33
Pistacia chinensis,363,Chinese pistache,77.06
Quercus lyrata,326,Overcup oak,59.27
Ginkgo biloba,261,Ginkgo,86.88
