scientific_name,count,common_name,avg_height
Fraxinus pennsylvanica,28206,Green ash,139.65
Acer platanoides,20191,Norway maple,98.24
Ulmus americana,16232,American elm,104.33
Acer saccharum,15362,Sugar maple,90.81
Tilia americana,12745,American linden,94.31
Celtis occidentalis,12736,Common hackberry,93.91
Tilia cordata,12687,Littleleaf linden,105.47
Gleditsia triacanthos,12676,Honeylocust,89.98
Acer rubrum,4196,Red maple,85.73
Ulmus,4000,Elm,61.25
