scientific_name,count,common_name,avg_height
Quercus virginiana,17126,Live oak,92.69
Lagerstroemia indica,14988,Crape myrtle,48.6
Quercus laurifolia,10620,Laurel oak,121.46
Sabal palmetto,2855,Cabbage palm,77.85
Ulmus parvifolia,2609,Chinese elm,100.72
Magnolia grandiflora,1952,Southern magnolia,79.13
Acer rubrum,1814,Red maple,85.73
Ilex,1693,Holly,34.44
Quercus shumardii,1404,Shumard oak,85.02
Washingtonia robusta,1384,Mexican fan palm,145.3
