scientific_name,count,common_name,avg_height
Cercis canadensis,4308,Eastern redbud,30.24
Lagerstroemia,2700,Common crapemyrtle,9.37
Acer buergerianum,1898,Trident maple,48.81
Lagerstroemia indica,1728,Crape myrtle,48.6
Quercus nuttallii,1514,Nuttall oak,nan
Acer rubrum,1476,Red maple,85.73
Quercus alba,1461,White oak,138.6
Nyssa sylvatica,1449,Tupelo,48.53
Cornus florida,1292,Flowering dogwood,35.63
Ulmus americana,989,American elm,104.33
