scientific_name,count,common_name,avg_height
Fraxinus velutina,19,Modesto ash,124.32
Syagrus romanzoffiana,16,Queen palm,73.8
Cercidium floridum,14,Palo verde,6.17
Fraxinus,12,Ash,105.99
Citrus paradisi,11,Grapefruit,22.7
Morus alba,10,White mulberry,77.78
Pinus halepensis,9,Aleppo pine,96.91
Ficus microcarpa,8,Indian laurel fig,92.18
Citrus aurantium,7,Sour orange,18.2
Searsia lancea,6,African sumac,7.38
