scientific_name,count,common_name,avg_height
Acer rubrum,12910,Red maple,85.73
Zelkova serrata,6766,Japanese zelkova,103.08
Platanus acerifolia,6056,London planetree,121.26
Tilia cordata,5932,Littleleaf linden,105.47
Prunus,5817,Cherry,46.73
Pyrus calleryana,4747,Callery pear,81.55
Acer platanoides,3717,Norway maple,98.24
Gleditsia triacanthos,3289,Honeylocust,89.98
Quercus phellos,3036,Willow oak,76.56
Quercus rubra,2849,Northern red oak,99.08
