scientific_name,count,common_name,avg_height
Thuja occidentalis,111,Northern white cedar,41.38
Quercus rubra,101,Northern red oak,99.08
Quercus bicolor,92,Swamp white oak,48.38
Tilia cordata,78,Littleleaf linden,105.47
Acer rubrum,63,Red maple,85.73
Platanus occidentalis,62,American sycamore,120.89
Acer saccharum,56,Sugar maple,90.81
Juniperus virginiana,33,Eastern red cedar,75.64
Juniperus chinensis,22,Juniper,49.05
Gleditsia triacanthos,17,Honeylocust,89.98
