scientific_name,count,common_name,avg_height
Salix,1735,Willow,87.4
Populus,1276,Cottonwood,133.54
Acer rubrum,1183,Red maple,85.73
Ulmus,981,Elm,61.25
Platanus acerifolia,980,London planetree,121.26
Celtis occidentalis,852,Common hackberry,93.91
Malus,706,Crabapple,42.76
Quercus bicolor,702,Swamp white oak,48.38
Liriodendron tulipifera,622,Tulip tree,137.05
Zelkova serrata,580,Japanese zelkova,103.08
