scientific_name,count,common_name,avg_height
Acer rubrum,683,Red maple,85.73
Cornus florida,602,Flowering dogwood,35.63
Acer saccharum,594,Sugar maple,90.81
Lagerstroemia indica,517,Crape myrtle,48.6
Cercis canadensis,323,Eastern redbud,30.24
Quercus phellos,321,Willow oak,76.56
Celtis occidentalis,282,Common hackberry,93.91
Pinus strobus,199,Eastern white pine,103.26
Quercus palustris,184,Pin oak,104.89
Acer saccharinum,172,Silver maple,153.6
