scientific_name,count,common_name,avg_height
Fraxinus pennsylvanica,21452,Green ash,139.65
Acer platanoides,5704,Norway maple,98.24
Acer freemanii,4933,Freeman maple,83.6
Acer saccharinum,4327,Silver maple,153.6
Tilia cordata,3097,Littleleaf linden,105.47
Gleditsia triacanthos,2332,Honeylocust,89.98
Celtis occidentalis,1600,Common hackberry,93.91
Picea pungens,1290,Blue spruce,89.09
Acer saccharum,1274,Sugar maple,90.81
Malus,1085,Crabapple,42.76
