scientific_name,count,common_name,avg_height
Acer saccharum,7042,Sugar maple,90.81
Celtis occidentalis,5940,Common hackberry,93.91
Malus,5803,Crabapple,42.76
Fraxinus americana,5717,White ash,106.68
Ulmus pumila,3977,Siberian elm,124.75
Acer platanoides,3298,Norway maple,98.24
Pinus strobus,3148,Eastern white pine,103.26
Acer rubrum,3135,Red maple,85.73
Morus,3107,Mulberry,54.68
Fraxinus pennsylvanica,2810,Green ash,139.65
