scientific_name,count,common_name,avg_height
Acer platanoides,20918,Norway maple,98.24
Fraxinus pennsylvanica,17377,Green ash,139.65
Tilia,4969,Linden,82.6
Tilia cordata,3894,Littleleaf linden,105.47
Gleditsia triacanthos,3390,Honeylocust,89.98
Fraxinus americana,2977,White ash,106.68
Tilia americana,2931,American linden,94.31
Celtis occidentalis,2667,Common hackberry,93.91
Malus,2608,Crabapple,42.76
Acer freemanii,2236,Freeman maple,83.6
