city,count
Los Angeles,17477
San Jose,26291
San Diego,1907
Rancho Cucamonga,5707
Stockton,7552
Sacramento,14111
San Francisco,11925
Anaheim,1264
Ontario,3328
Oakland,3788
Huntington Beach,574
Irvine,1195
Garden Grove,593
Fresno,294
Santa Rosa,87
