city,count
Los Angeles,37971
San Jose,5116
San Diego,15129
Rancho Cucamonga,2262
Stockton,780
Sacramento,1535
San Francisco,1012
Anaheim,4385
Ontario,1588
Oakland,274
HuntingtonBeach,4037
Irvine,542
Garden Grove,596
Fresno,0
Santa Rosa,0
