city,count
Los Angeles,30988
San Jose,7080
San Diego,3463
Rancho Cucamonga,5016
Stockton,3762
Sacramento,1151
San Francisco,7793
Anaheim,5266
Ontario,1214
Oakland,1375
Huntington Beach,372
Irvine,530
Garden Grove,696
Fresno,0
Santa Rosa,0
