source,target,value
Denver,Gleditsia,24178
Denver,Lagerstroemia,0
Denver,Prunus,6833
Denver,Pyrus,7410
Denver,Tilia,18650
Denver,Ulmus,19142
Denver,Pinus,20316
Denver,Liquidambar,84
Denver,Magnolia,190
Denver,Washingtonia,0
Denver,Celtis,9477
Denver,Malus,12264
Denver,Zelkova,525
Denver,Eucalyptus,0
Denver,Ginkgo,765
Denver,Ficus,0
Colorado,AuroraCO,57360
AuroraCO,Acer,9517
AuroraCO,Quercus,2468
AuroraCO,Fraxinus,6363
AuroraCO,Platanus,9
AuroraCO,Gleditsia,10428
AuroraCO,Lagerstroemia,0
AuroraCO,Prunus,318
AuroraCO,Pyrus,1537
AuroraCO,Tilia,8098
AuroraCO,Ulmus,2405
AuroraCO,Pinus,3282
AuroraCO,Liquidambar,0
AuroraCO,Magnolia,6
AuroraCO,Washingtonia,0
AuroraCO,Celtis,2493
AuroraCO,Malus,1536
AuroraCO,Zelkova,3
AuroraCO,Eucalyptus,0
AuroraCO,Ginkgo,9
AuroraCO,Ficus,0
Oregon,Portland,216751
Portland,Acer,57813
Portland,Quercus,7281
Portland,Fraxinus,9293
Portland,Platanus,1300
Portland,Gleditsia,1412
Portland,Lagerstroemia,852
Portland,Prunus,25816
Portland,Pyrus,11700
Portland,Tilia,5490
Portland,Ulmus,3356
Portland,Pinus,3471
Portland,Liquidambar,3703
Portland,Magnolia,3507
Portland,Washingtonia,0
Portland,Celtis,334
Portland,Malus,8694
Portland,Zelkova,1911
Portland,Eucalyptus,92
Portland,Ginkgo,2023
Portland,Ficus,465
Texas,Houston,213387
Houston,Acer,1733
Houston,Quercus,66689
Houston,Fraxinus,6030
Houston,Platanus,2864
Houston,Gleditsia,69
Houston,Lagerstroemia,44356
Houston,Prunus,2315
Houston,Pyrus,2835
Houston,Tilia,2
Houston,Ulmus,9063
Houston,Pinus,10038
Houston,Liquidambar,1352
Houston,Magnolia,4598
Houston,Washingtonia,5476
Houston,Celtis,13025
Houston,Malus,123
Houston,Zelkova,0
Houston,Eucalyptus,12
Houston,Ginkgo,19
Houston,Ficus,117
Texas,Plano,28290
Plano,Acer,105
Plano,Quercus,5182
Plano,Fraxinus,1208
Plano,Platanus,145
Plano,Gleditsia,70
Plano,Lagerstroemia,2779
Plano,Prunus,86
Plano,Pyrus,815
Plano,Tilia,0
Plano,Ulmus,4367
Plano,Pinus,299
Plano,Liquidambar,143
Plano,Magnolia,132
