source,target,value
Garden Grove,Rosaceae,1739
Garden Grove,Fagaceae,163
Garden Grove,Fabaceae,358
Garden Grove,Oleaceae,317
Garden Grove,Ulmaceae,601
Garden Grove,Platanaceae,698
Garden Grove,Pinaceae,1283
Garden Grove,Lythraceae,2359
Garden Grove,Arecaceae,2478
Garden Grove,Malvaceae,42
Garden Grove,Myrtaceae,2373
Garden Grove,Cupressaceae,231
Garden Grove,Magnoliaceae,713
Garden Grove,Altingiaceae,365
Fresno,Sapindaceae,55
Fresno,Rosaceae,71
Fresno,Fagaceae,1633
Fresno,Fabaceae,50
Fresno,Oleaceae,9
Fresno,Ulmaceae,570
Fresno,Platanaceae,408
Fresno,Pinaceae,1312
Fresno,Lythraceae,184
Fresno,Arecaceae,4
Fresno,Myrtaceae,1
Fresno,Cupressaceae,322
Fresno,Magnoliaceae,5
Fresno,Altingiaceae,6
Santa Rosa,Sapindaceae,139
Santa Rosa,Rosaceae,90
Santa Rosa,Fagaceae,468
Santa Rosa,Oleaceae,2
Santa Rosa,Platanaceae,87
Santa Rosa,Pinaceae,188
Santa Rosa,Cupressaceae,203
Santa Rosa,Altingiaceae,1
