source,target,value
Columbus,Magnoliaceae,1235
Columbus,Altingiaceae,1679
Columbus,Other species,12518
Baltimore,Sapindaceae,27011
Baltimore,Rosaceae,14010
Baltimore,Fagaceae,16223
Baltimore,Fabaceae,8903
Baltimore,Oleaceae,3998
Baltimore,Ulmaceae,13017
Baltimore,Platanaceae,6787
Baltimore,Pinaceae,2830
Baltimore,Lythraceae,1590
Baltimore,Malvaceae,8101
Baltimore,Cupressaceae,2666
Baltimore,Magnoliaceae,2013
Baltimore,Altingiaceae,2517
Baltimore,Other species,11613
New Orleans,Sapindaceae,1903
New Orleans,Rosaceae,3293
New Orleans,Fagaceae,25572
New Orleans,Fabaceae,2168
New Orleans,Oleaceae,2629
New Orleans,Ulmaceae,2154
New Orleans,Platanaceae,621
New Orleans,Pinaceae,3500
New Orleans,Lythraceae,30270
New Orleans,Arecaceae,6240
New Orleans,Malvaceae,71
New Orleans,Myrtaceae,249
New Orleans,Cupressaceae,6451
New Orleans,Magnoliaceae,6665
New Orleans,Altingiaceae,254
New Orleans,Other species,13746
Stockton,Sapindaceae,3084
Stockton,Rosaceae,9497
Stockton,Fagaceae,6185
Stockton,Fabaceae,1366
Stockton,Oleaceae,11568
Stockton,Ulmaceae,4191
Stockton,Platanaceae,7639
Stockton,Pinaceae,1851
Stockton,Lythraceae,7380
Stockton,Arecaceae,2115
Stockton,Malvaceae,983
Stockton,Myrtaceae,512
Stockton,Cupressaceae,4621
Stockton,Magnoliaceae,4799
Stockton,Altingiaceae,4371
Stockton,Other species,27545
Other cities,Sapindaceae,16280
Other cities,Rosaceae,13123
Other cities,Fagaceae,5258
Other cities,Fabaceae,5475
Other cities,Oleaceae,11023
Other cities,Ulmaceae,6550
Other cities,Platanaceae,1724
Other cities,Pinaceae,11701
Other cities,Malvaceae,1657
Other cities,Cupressaceae,2160
Other cities,Magnoliaceae,1455
Other cities,Altingiaceae,1478
Other cities,Other species,19343
Other cities,Sapindaceae,29231
Other cities,Rosaceae,4338
Other cities,Fagaceae,1804
Other cities,Fabaceae,14587
Other cities,Oleaceae,23272
Other cities,Ulmaceae,3892
Other cities,Platanaceae,119
Other cities,Pinaceae,1160
Other cities,Malvaceae,11799
Other cities,Cupressaceae,598
Other cities,Magnoliaceae,25
Other cities,Altingiaceae,1
Other cities,Other species,4731
Other cities,Sapindaceae,4316
Other cities,Rosaceae,7638
Other cities,Fagaceae,10571
Other cities,Fabaceae,1452
Other cities,Oleaceae,4346
Other cities,Ulmaceae,7908
Other cities,Platanaceae,14111
Other cities,Pinaceae,2520
Other cities,Lythraceae,4159
Other cities,Arecaceae,3488
Other cities,Malvaceae,1021
Other cities,Myrtaceae,629
Other cities,Cupressaceae,4636
Other cities,Magnoliaceae,2052
Other cities,Altingiaceae,1949
Other cities,Other species,13464
Other cities,Sapindaceae,19869
Other cities,Rosaceae,12019
Other cities,Fagaceae,9714
Other cities,Fabaceae,6301
Other cities,Oleaceae,12909
Other cities,Ulmaceae,4036
Other cities,Platanaceae,3922
Other cities,Pinaceae,466
Other cities,Lythraceae,22
Other cities,Malvaceae,4031
Other cities,Cupressaceae,1354
Other cities,Magnoliaceae,1113
Other cities,Altingiaceae,2140
Other cities,Other species,5637
Other cities,Sapindaceae,2908
Other cities,Rosaceae,6542
Other cities,Fagaceae,1830
Other cities,Fabaceae,1984
Other cities,Oleaceae,1093
Other cities,Ulmaceae,559
Other cities,Platanaceae,5838
Other cities,Pinaceae,6358
Other cities,Lythraceae,12945
Other cities,Arecaceae,6393
Other cities,Malvaceae,4004
Other cities,Myrtaceae,7532
Other cities,Cupressaceae,207
Other cities,Magnoliaceae,5253
Other cities,Altingiaceae,3729
Other cities,Other species,13428
Other cities,Sapindaceae,3909
Other cities,Rosaceae,1036
Other cities,Fagaceae,1609
Other cities,Fabaceae,24460
Other cities,Oleaceae,419
Other cities,Ulmaceae,1195
Other cities,Platanaceae,2075
Other cities,Pinaceae,3519
Other cities,Lythraceae,3772
Other cities,Arecaceae,8281
Other cities,Malvaceae,701
Other cities,Myrtaceae,6224
Other cities,Cupressaceae,284
Other cities,Magnoliaceae,5564
Other cities,Altingiaceae,1493
Other cities,Other species,12478
Other cities,Sapindaceae,27440
Other cities,Rosaceae,8287
Other cities,Fagaceae,3867
Other cities,Fabaceae,6797
Other cities,Oleaceae,3863
Other cities,Ulmaceae,4735
Other cities,Platanaceae,2017
Other cities,Pinaceae,2063
Other cities,Malvaceae,11168
Other cities,Cupressaceae,225
Other cities,Magnoliaceae,245
Other cities,Altingiaceae,219
Other cities,Other species,5858
Other cities,Sapindaceae,33936
Other cities,Rosaceae,3590
Other cities,Fagaceae,4820
Other cities,Fabaceae,6940
Other cities,Oleaceae,2993
Other cities,Ulmaceae,2416
Other cities,Platanaceae,4909
Other cities,Pinaceae,3106
Other cities,Malvaceae,3818
Other cities,Cupressaceae,381
Other cities,Magnoliaceae,173
Other cities,Altingiaceae,517
Other cities,Other species,4049
Other cities,Sapindaceae,1830
Other cities,Rosaceae,1253
Other cities,Fagaceae,31312
Other cities,Fabaceae,263
Other cities,Oleaceae,659
Other cities,Ulmaceae,2674
Other cities,Platanaceae,284
Other cities,Pinaceae,1185
Other cities,Lythraceae,14988
Other cities,Arecaceae,5970
Other cities,Malvaceae,10
Other cities,Myrtaceae,209
Other cities,Cupressaceae,909
Other cities,Magnoliaceae,1973
Other cities,Altingiaceae,374
Other cities,Other species,2336
Other cities,Sapindaceae,18238
Other cities,Rosaceae,1902
Other cities,Fagaceae,2035
Other cities,Fabaceae,2948
Other cities,Oleaceae,22218
Other cities,Ulmaceae,1754
Other cities,Platanaceae,59
Other cities,Pinaceae,3977
Other cities,Malvaceae,3989
Other cities,Cupressaceae,176
Other cities,Magnoliaceae,22
Other cities,Other species,3986
Other cities,Sapindaceae,2641
Other cities,Rosaceae,5257
Other cities,Fagaceae,1012
Other cities,Fabaceae,1622
Other cities,Oleaceae,2468
Other cities,Ulmaceae,1547
Other cities,Platanaceae,3763
Other cities,Pinaceae,4837
Other cities,Lythraceae,4634
Other cities,Arecaceae,5817
Other cities,Malvaceae,1082
Other cities,Myrtaceae,3189
Other cities,Cupressaceae,668
Other cities,Magnoliaceae,2168
Other cities,Altingiaceae,4392
Other cities,Other species,13480
Other cities,Sapindaceae,19097
Other cities,Rosaceae,5189
Other cities,Fagaceae,4747
Other cities,Fabaceae,7535
Other cities,Oleaceae,3736
Other cities,Ulmaceae,2238
Other cities,Platanaceae,3134
Other cities,Pinaceae,1818
Other cities,Malvaceae,4858
Other cities,Cupressaceae,587
Other cities,Magnoliaceae,667
Other cities,Altingiaceae,786
Other cities,Other species,4004
Other cities,Sapindaceae,2224
Other cities,Rosaceae,1241
Other cities,Fagaceae,1763
Other cities,Fabaceae,975
Other cities,Oleaceae,189
Other cities,Ulmaceae,730
Other cities,Platanaceae,4082
Other cities,Pinaceae,11687
Other cities,Lythraceae,1390
Other cities,Arecaceae,593
Other cities,Malvaceae,359
Other cities,Myrtaceae,19602
Other cities,Cupressaceae,535
Other cities,Magnoliaceae,534
Other cities,Altingiaceae,1773
Other cities,Other species,10092
Other cities,Sapindaceae,9788
Other cities,Rosaceae,4146
Other cities,Fagaceae,2469
Other cities,Fabaceae,10802
Other cities,Oleaceae,6440
Other cities,Ulmaceae,2408
Other cities,Platanaceae,9
Other cities,Pinaceae,4724
Other cities,Malvaceae,8098
Other cities,Cupressaceae,332
Other cities,Magnoliaceae,23
Other cities,Other species,6380
Other cities,Sapindaceae,1691
Other cities,Rosaceae,2933
Other cities,Fagaceae,467
Other cities,Fabaceae,12670
Other cities,Oleaceae,1025
Other cities,Ulmaceae,119
Other cities,Platanaceae,1097
Other cities,Pinaceae,2835
Other cities,Lythraceae,3902
Other cities,Arecaceae,11857
Other cities,Malvaceae,197
Other cities,Myrtaceae,9448
Other cities,Cupressaceae,325
Other cities,Magnoliaceae,379
Other cities,Altingiaceae,170
Other cities,Other species,6483
Other cities,Sapindaceae,16364
Other cities,Rosaceae,3067
Other cities,Fagaceae,4969
Other cities,Fabaceae,1778
Other cities,Oleaceae,9766
Other cities,Ulmaceae,1537
Other cities,Platanaceae,492
Other cities,Pinaceae,1799
Other cities,Lythraceae,1
Other cities,Malvaceae,1207
Other cities,Myrtaceae,4
Other cities,Cupressaceae,654
Other cities,Magnoliaceae,62
Other cities,Altingiaceae,1983
Other cities,Other species,1084
Other cities,Sapindaceae,10782
Other cities,Rosaceae,6184
Other cities,Fagaceae,3412
Other cities,Fabaceae,5199
Other cities,Oleaceae,1194
Other cities,Ulmaceae,2181
Other cities,Platanaceae,3471
Other cities,Pinaceae,1494
Other cities,Malvaceae,2692
Other cities,Cupressaceae,608
Other cities,Magnoliaceae,348
Other cities,Altingiaceae,892
Other cities,Other species,3622
Other cities,Sapindaceae,4739
Other cities,Rosaceae,2932
Other cities,Fagaceae,7132
Other cities,Fabaceae,4437
Other cities,Oleaceae,1230
Other cities,Ulmaceae,1633
Other cities,Platanaceae,76
Other cities,Pinaceae,393
Other cities,Lythraceae,4806
Other cities,Arecaceae,10
Other cities,Malvaceae,320
Other cities,Cupressaceae,1610
Other cities,Magnoliaceae,2985
Other cities,Altingiaceae,49
Other cities,Other species,8823
Other cities,Sapindaceae,1479
Other cities,Rosaceae,8522
Other cities,Fagaceae,784
Other cities,Fabaceae,1579
Other cities,Oleaceae,2503
Other cities,Ulmaceae,476
Other cities,Platanaceae,3836
Other cities,Pinaceae,187
Other cities,Lythraceae,1958
Other cities,Arecaceae,549
Other cities,Malvaceae,49
Other cities,Myrtaceae,1919
Other cities,Cupressaceae,207
Other cities,Magnoliaceae,1474
Other cities,Altingiaceae,3312
Other cities,Other species,6734
Other cities,Sapindaceae,4449
Other cities,Rosaceae,2087
Other cities,Fagaceae,7958
Other cities,Fabaceae,2086
Other cities,Oleaceae,2337
Other cities,Ulmaceae,926
Other cities,Platanaceae,933
Other cities,Pinaceae,1798
Other cities,Lythraceae,20
Other cities,Malvaceae,319
Other cities,Cupressaceae,1242
Other cities,Magnoliaceae,1456
Other cities,Altingiaceae,834
Other cities,Other species,6266
Other cities,Sapindaceae,583
Other cities,Rosaceae,10
Other cities,Fagaceae,7061
Other cities,Fabaceae,818
Other cities,Oleaceae,434
Other cities,Ulmaceae,59
Other cities,Platanaceae,7
Other cities,Pinaceae,3298
Other cities,Lythraceae,503
Other cities,Arecaceae,10320
Other cities,Malvaceae,22
Other cities,Myrtaceae,941
Other cities,Cupressaceae,2364
Other cities,Magnoliaceae,123
Other cities,Altingiaceae,39
Other cities,Other species,5598
Other cities,Sapindaceae,6861
Other cities,Rosaceae,3537
Other cities,Fagaceae,2904
Other cities,Fabaceae,3053
Other cities,Oleaceae,5606
Other cities,Ulmaceae,610
Other cities,Platanaceae,113
Other cities,Pinaceae,2894
Other cities,Malvaceae,2192
Other cities,Cupressaceae,381
Other cities,Magnoliaceae,28
Other cities,Altingiaceae,2
Other cities,Other species,3885
Other cities,Sapindaceae,6
Other cities,Rosaceae,177
Other cities,Fagaceae,531
Other cities,Fabaceae,7270
Other cities,Oleaceae,5865
Other cities,Ulmaceae,884
Other cities,Platanaceae,118
Other cities,Pinaceae,6651
Other cities,Lythraceae,77
Other cities,Arecaceae,3387
Other cities,Malvaceae,24
Other cities,Myrtaceae,383
Other cities,Cupressaceae,188
Other cities,Magnoliaceae,7
Other cities,Other species,6438
Other cities,Sapindaceae,345
Other cities,Rosaceae,918
Other cities,Fagaceae,5217
Other cities,Fabaceae,703
Other cities,Oleaceae,1209
Other cities,Ulmaceae,4367
Other cities,Platanaceae,145
Other cities,Pinaceae,305
Other cities,Lythraceae,2779
Other cities,Cupressaceae,1924
Other cities,Magnoliaceae,133
Other cities,Altingiaceae,143
Other cities,Other species,7355
Other cities,Sapindaceae,400
Other cities,Rosaceae,1334
Other cities,Fagaceae,11190
Other cities,Fabaceae,127
Other cities,Oleaceae,229
Other cities,Ulmaceae,696
Other cities,Platanaceae,33
Other cities,Pinaceae,1397
Other cities,Lythraceae,2907
Other cities,Arecaceae,3416
Other cities,Malvaceae,1
Other cities,Myrtaceae,645
Other cities,Cupressaceae,611
Other cities,Magnoliaceae,383
Other cities,Altingiaceae,13
Other cities,Other species,1686
Other cities,Sapindaceae,6061
Other cities,Rosaceae,4906
Other cities,Fagaceae,1458
Other cities,Fabaceae,2362
Other cities,Oleaceae,2111
Other cities,Ulmaceae,2082
Other cities,Platanaceae,1918
Other cities,Pinaceae,94
Other cities,Malvaceae,1739
Other cities,Cupressaceae,27
Other cities,Magnoliaceae,68
Other cities,Altingiaceae,289
Other cities,Other species,967
Other cities,Sapindaceae,2791
Other cities,Rosaceae,2417
Other cities,Fagaceae,2481
Other cities,Fabaceae,1063
