city,species,count,common_name,tree_genus,tree_family,tree_order
Garden Grove,Tristaniopsis laurina,22,Swamp myrtle,Tristaniopsis,Myrtaceae,Myrtales
Garden Grove,Washingtonia robusta,596,Mexican fan palm,Washingtonia,Arecaceae,Arecales
Fresno,Abies,0,Fir,Abies,Pinaceae,Pinales
Fresno,Cedrus deodara,749,Deodar cedar,Cedrus,Pinaceae,Pinales
Fresno,Cinnamomum camphora,153,Camphor tree,Cinnamomum,Lauraceae,Laurales
Fresno,Cupaniopsis anacardioides,0,Carrotwood,Cupaniopsis,Sapindaceae,Sapindales
Fresno,Eucalyptus globulus,0,Eucalyptus,Eucalyptus,Myrtaceae,Myrtales
Fresno,Eucalyptus maculata,0,Spotted gum,Corymbia,Myrtaceae,Myrtales
Fresno,Gleditsia triacanthos,0,Honeylocust,Gleditsia,Fabaceae,Fabales
Fresno,Lagerstroemia indica,184,Crape myrtle,Lagerstroemia,Lythraceae,Myrtales
Fresno,Liquidambar styraciflua,6,American sweetgum,Liquidambar,Altingiaceae,Saxifragales
Fresno,Lophostemon confertus,0,Brisbane box,Lophostemon,Myrtaceae,Myrtales
Fresno,Magnolia grandiflora,0,Southern magnolia,Magnolia,Magnoliaceae,Magnoliales
Fresno,Metrosideros excelsa,0,New zealand xmas tree,Metrosideros,Myrtaceae,Myrtales
Fresno,Pinus canariensis,0,Canary island pine,Pinus,Pinaceae,Pinales
Fresno,Pistacia chinensis,713,Chinese pistache,Pistacia,Anacardiaceae,Sapindales
Fresno,Platanus acerifolia,294,London planetree,Platanus,Platanaceae,Proteales
Fresno,Prunus,0,Cherry,Prunus,Rosaceae,Rosales
Fresno,Pyrus calleryana,55,Callery pear,Pyrus,Rosaceae,Rosales
Fresno,Quercus,4,Deciduous oak,Quercus,Fagaceae,Fagales
Fresno,Quercus lobata,588,California white oak,Quercus,Fagaceae,Fagales
Fresno,Sequoia sempervirens,124,Coast redwood,Sequoia,Cupressaceae,Pinales
Fresno,Syagrus romanzoffianum,0,Queen palm,Syagrus,Arecaceae,Arecales
Fresno,Tristaniopsis laurina,0,Swamp myrtle,Tristaniopsis,Myrtaceae,Myrtales
Fresno,Washingtonia robusta,0,Mexican fan palm,Washingtonia,Arecaceae,Arecales
Santa Rosa,Abies,155,Fir,Abies,Pinaceae,Pinales
Santa Rosa,Cedrus deodara,0,Deodar cedar,Cedrus,Pinaceae,Pinales
Santa Rosa,Cinnamomum camphora,0,Camphor tree,Cinnamomum,Lauraceae,Laurales
Santa Rosa,Cupaniopsis anacardioides,0,Carrotwood,Cupaniopsis,Sapindaceae,Sapindales
Santa Rosa,Eucalyptus globulus,0,Eucalyptus,Eucalyptus,Myrtaceae,Myrtales
Santa Rosa,Eucalyptus maculata,0,Spotted gum,Corymbia,Myrtaceae,Myrtales
Santa Rosa,Gleditsia triacanthos,0,Honeylocust,Gleditsia,Fabaceae,Fabales
Santa Rosa,Lagerstroemia indica,0,Crape myrtle,Lagerstroemia,Lythraceae,Myrtales
Santa Rosa,Liquidambar styraciflua,1,American sweetgum,Liquidambar,Altingiaceae,Saxifragales
Santa Rosa,Lophostemon confertus,0,Brisbane box,Lophostemon,Myrtaceae,Myrtales
Santa Rosa,Magnolia grandiflora,0,Southern magnolia,Magnolia,Magnoliaceae,Magnoliales
Santa Rosa,Metrosideros excelsa,0,New zealand xmas tree,Metrosideros,Myrtaceae,Myrtales
Santa Rosa,Pinus canariensis,0,Canary island pine,Pinus,Pinaceae,Pinales
Santa Rosa,Pistacia chinensis,0,Chinese pistache,Pistacia,Anacardiaceae,Sapindales
Santa Rosa,Platanus acerifolia,87,London planetree,Platanus,Platanaceae,Proteales
Santa Rosa,Prunus,22,Cherry,Prunus,Rosaceae,Rosales
Santa Rosa,Pyrus calleryana,0,Callery pear,Pyrus,Rosaceae,Rosales
Santa Rosa,Quercus,468,Deciduous oak,Quercus,Fagaceae,Fagales
Santa Rosa,Quercus lobata,0,California white oak,Quercus,Fagaceae,Fagales
Santa Rosa,Sequoia sempervirens,203,Coast redwood,Sequoia,Cupressaceae,Pinales
Santa Rosa,Syagrus romanzoffianum,0,Queen palm,Syagrus,Arecaceae,Arecales
Santa Rosa,Tristaniopsis laurina,0,Swamp myrtle,Tristaniopsis,Myrtaceae,Myrtales
Santa Rosa,Washingtonia robusta,0,Mexican fan palm,Washingtonia,Arecaceae,Arecales
